  VX Overview Adomain,  VX Overview Unified Ad Spend
temu.com,7655585.822835028
dreamgames.com,1160256.9568581595
king.com,775959.3882740422
tiktok.com,728888.8559584094
goodjobgames.com,441349.32734425995
centurygame.com,438618.9897544436
hplconsultingltd.com,353805.21325798717
apple.com,346066.7871373075
revolut.com,337066.00935089553
scopely.com,334842.38341512077
kalshi.com,304850.23872884037
,291738.8184659212
copilot.microsoft.com,231815.42815428998
creditkarma.com,212847.35796160108
com.mergegame.icookie,198866.0256501808
amazon.com,191751.86343492233
draftkings.com,183811.2785195185
productmadness.com,177396.098036888
lazada.com,174836.22261680296
papayagaming.com,169094.85202060477
hungrystudio.com,160195.56596974365
shopee.com.br,155229.56036306373
luckyday.com,137806.81866298043
google.com,134790.64925373168
coupang.com,134185.6613726119
binance.com,132959.74570673867
casino.draftkings.com,132546.5955416266
vitastudio.ai,124636.63090421274
paypal.com,123199.31331224466
shopee.co.id,118952.61931441649
grand.gs,118838.66422301173
rakuten.co.jp,118063.78340945153
aliexpress.com,115366.19386832765
zynga.com,110875.41275730921
mercadolibre.com,109331.11247169029
shopee.com,106413.63544955147
cloudfront.net,106333.19678094267
goodluckstudioltd.com,104964.76361110719
playtika.com,102643.21264691695
playrix.com,100273.87993771915
trendyol.com,98638.09770448679
shein.com,94815.55208553254
googll.store,92716.98888075264
ligastavok.ru,87949.07722756706
betty.ca,85542.5116843019
mico.com,84566.87108128172
okex.com,83944.73863408755
shopee.com.my,82404.22748327162
apps.apple.com,82270.57445642537
mexc.com,81843.10338953494
bigo.tv,81633.6231523714
jackpotcity.com,80916.41662372951
9snail.com,80604.99348278285
walmart.com,77272.5662396652
mintegral.com,75773.10134738869
pf1hh5eg3gi8iz8h.com,75523.75331524492
alibaba.com,74944.76918413144
underdogfantasy.com,74711.65720976448
otto.de,72901.14553127263
peak.com,72818.69671134044
melbet.com,72556.07657452385
homes.com,70674.3858788697
supercell.net,70465.68422381007
tango.me,70100.20059860099
gco.gov.qa,68924.27296587765
kraken.com,67499.1905099739
modo.us,67408.52999444134
bitso.com,64798.967834692405
centurygames.com,64542.2422222576
booking.com,62462.074420519915
gls.com,62372.029584029195
hardrock.bet,62072.6087289297
robinhood.com,61121.87306235836
global.e.mi.com,60605.51466325142
crypto.com,60246.48337789138
wudi360.com,59304.25767874971
bolegames.com,59173.91246568243
luckydayapp.com,58819.37870733378
crowncoinscasino.com,56726.375608216214
matchingham.gs,53089.37485875678
doordash.com,52842.286984436345
opera.com,52795.12456988692
winline.ru,52269.68912252349
mobilityware.com,51375.002347922404
play.google.com,51361.431405921045
nianticlabs.com,51126.85112006446
pinterest.com,50526.437525431116
azarlive.com,50496.800423043744
candycrushsaga.com,49639.22670806036
igg.com,48107.05399606347
vip.oiytrexz.hair,48002.959958821855
turo.com,47227.97088824751
mf.cola,46902.903439055226
mistplay.com,45765.902800907184
getfliff.com,44807.93881837877
activision.com,44698.05880270939
moonactive.com,43828.4529067602
chimebank.com,43657.30361771835
wooga.com,43585.090231386974
pari-apk.ru,43455.635672587174
apps.rustore.ru,43138.48183469045
kwai.com,41993.2830088179
pari.ru,40466.293124354466
mercadolibre.com.mx,40261.95755193919
funstage.com,38728.84712531989
grammarly.com,38474.69310748158
https://att.com/,38257.49081744787
termsfeed.com,37985.70932222551
it-trendex.com,37913.17015523997
experian.com,37047.320304688175
shopee.ph,36408.52475458037
capital.com,36236.359551118265
rovio.com,35270.26080916461
mediaexpert.pl,34025.88308017948
chime.com,33492.385573615866
amzn.to,33449.28067538605
floreregame.com,32183.96598257529
mjolnircode.org,31993.33569329427
justplayapps.com,31967.676924476993
jackpotjoy.com,31897.479732271135
magnit.ru,31838.109711535573
11029984.com,31698.70044516337
rollicgames.com,31410.246970857963
kohls.com,31233.876151820994
bonprix.de,31100.367544369583
MPO888.com,30978.206980651095
ajaib88ku.net,30758.226242347995
funplus.com,30733.28331549514
allegro.pl,30142.16392530196
camelgames.com,30023.208700411207
nyxcosmetics.com,30022.828466553336
candycrushsodasaga.com,29877.323167343347
pandora.com,29505.307167796753
jjwin.net,29299.557298781983
playdogsoft.com,29227.778419604147
governorofpoker.com,29195.561654842153
spark.net,28801.37663405433
aviagames.com,28444.54873325658
web.meetcleo.com,27999.523551325627
fanaticsinc.com,27947.59201601235
738382910483.com,27722.026579982925
uber.com,27351.634001167346
yandex.ru,27294.86509591414
sinsay.com,27131.403868381807
squareup.com,27097.76141855521
candivore.io,26886.249806741664
pocket7games.com,26475.659598031707
higgsgamestudio.com,26334.508109043574
luckios.com,26238.6776946569
freecash.com,25850.311442165632
royal.dominoislandgame.com,25809.38191773629
prizepicks.com,25686.55270268946
karrotmarket.com,25613.206894227733
yahoo.co.jp,25613.1152288997
ticktackinteractive.com,25381.605961009263
goldapple.ru,24801.313009751862
facebook.com,24654.911556900017
ohuhbfefe.click,24544.905524224258
s.click.aliexpress.com,24439.190122263524
xm.com,23986.51329547044
dhgate.com,23908.59896062195
papaya.com,23573.235311935012
olymptrade.com,23352.309705494263
metacoregames.com,23263.446400739012
kj5uv2of4zt2xk4x.com,23151.114102987776
doubledowninteractive.com,22897.95645079868
99app.com,21973.512082530335
micous.com,21776.632770023883
shopee.vn,21537.05450650526
realplayltd.com,21521.168458161177
say.games,21519.39977077186
ea.com,21508.08531626558
sportsbook.draftkings.com,21411.24916009358
android.lazada.com,21388.783467039426
modmingletech.com,21356.22496670706
plarium.com,21311.156823436162
f999-vip.top,21244.540153283826
com.ppid7,21159.446857867682
download1xbet.com,21134.671808002346
samsung.com,20805.818873296783
didiglobal.com,20687.496846940427
snowprintstudios.com,20577.4094650318
reserved.com,20406.202231189887
casino.betway.com,20322.003412400492
coppel.com,20089.978130114763
help.supercellsupport.com,19931.189948098385
traveloka.com,19855.438849549726
mahyongways2.com:5030,19848.862663702916
betway.com,19775.17132478326
microfun.com,19538.70489355608
caliente.mx,19387.107149334817
disney.us,19351.45129318805
huuugegames.com,19141.843498719125
sciplay.com,18871.069535365998
aligota.com,18845.425261127053
supercell.com,18834.95705095152
www.aliexpress.com,18829.09120662236
bingbon.finance,18806.955337895517
murka.com,18780.606728802915
jackpocket.com,18706.854302614127
sportybet.com,18675.44797376765
roblox.com,18655.413505113145
kakaopiccoma.com,18343.94635026478
linkedin.com,18343.236107614233
samokat.ru,18340.222102327727
q5rqm3.com,18296.443539646087
sportmaster.ru,18113.902648478335
betboom.ru,18070.298178854697
nexon.com,18047.853116208633
afun.bet.br,17955.265275953912
grantcash.com,17925.282123442506
fanatics.com,17858.85829614588
macys.com,17821.422771027963
fon.bet,17813.278198728527
Wonderful Studio.com,17764.270200375646
itunes.apple.com,17733.348483321235
badam.mobi,17496.80130038297
max.com,17272.37515221412
44vvkw.com,17053.266885500067
lastwar.com,17016.04278190109
okx.com,16917.43264384665
serasa.com,16878.550918433368
boo.world,16484.983483186137
webninjasolutions.com,16475.51188400001
gemini.com,16459.492467050288
zeroogravitygames.com,16452.1624516017
higgsgames.com,16186.915032802834
lego.com,16179.549611356873
moneylion.com,16179.061428140165
peakgames.net,16055.963305020983
mercadolivre.com.br,16020.869490944431
oakevergames.com,15978.16609598036
bravestars.com,15831.163771412408
jeulover.com,15754.873706200235
1097638.com,15632.018757461152
calorie-diet.com,15542.885972606255
cargurus.com,15399.787545928819
axlebolt.com,15359.999158915749
lazada.com.ph,15289.151813037333
joyboxstudio.com,15112.87197857706
sportzino.com,15010.365759189768
voodoo.io,14970.509141339193
starfishfun.com,14937.560813682594
spinxgames.com,14757.889497367569
playsimple.in,14752.984457579403
amazon.ca,14619.762728669757
slotomania.com,14597.459347658494
pkrbet0.com,14507.020063707241
nexon.net,14454.457909385741
paradisecasino.co.kr,14422.649400010627
sunnyrelief.top,14413.811685276474
trill.ugc.android.ss.com,14407.470971233583
betano.bet,14391.209583532916
com.zzkko,14376.782875225164
goeuro.com,14174.088662314367
shopee.co.th,14173.484355137765
topgamesinc.com,14073.019197693486
taobao.com,14015.251280810922
lamoda.ru,13965.036768645108
nubank.com.br,13919.266511532245
revlon.com,13857.435633740539
lazada.co.id,13854.01716790337
xanhsm.com,13730.679688139673
linkbpjs777.com,13675.68349570083
nexo.io,13673.584527367699
32red.com,13665.731954722385
letsplayuno.com,13646.662750248535
google.ggss333.com,13640.991754934224
igs.com.tw,13514.36111718803
playojo.com,13477.867576233712
poshmark.com,13435.517491323453
sugu.com,13320.11026055377
magmatic.games,13232.933683608044
microsoft.com,13217.334423427179
magazineluiza.com.br,13172.944841434557
slotscity.ua,13148.11603701471
sb.ecnokamisama.com,13086.537583029905
actionfit.kr,12956.235587066252
priceline.com,12914.278449544701
caliente.com,12880.155422240015
olleyo.com,12810.09206602526
next.bondee.tech,12718.00538305968
bitpanda.com,12696.920501077762
jp.co.rakuten.android,12671.031650706604
teegschwendner.de,12610.447524840063
raspesorte.io,12598.489968300364
aligosta.com,12506.042888684136
com.newleaf,12499.256403876132
higgs.dominoislandgame.com,12364.500528835399
ichiba.rakuten.co.jp,12313.385750170914
withyotta.com,12191.84566597932
fonbet.ru,12106.294137885227
jcpenney.com,12027.396377957317
www2.mouse-games.com,11997.15748504911
lifeextension.com,11927.256457244252
bancoazteca.com.mx,11905.663952085668
shopping.mattel.com,11887.832692558446
6744304405,11856.00205605571
privacypolicies.com,11780.357231938877
www.889hjaae11.cc,11764.051125410306
hyperconnect.com,11738.286605727253
gameduell.com,11720.87487780153
hepsiburada.com,11670.886089232681
www.lazada.com.ph,11637.44098204542
